爱不释手,àibùshìshǒu,can’t put it down
一模一样,yīmúyīyàng,exactly the same
引渡,yǐndù,extradite
应此,yīngcǐ,therefore
营地,yíngdì,campsite
应付考试,yìngfùkǎoshì,deal with exams
迎合,yínghé,cater to
鹰派,yīngpài,hawkish faction
营养价值,yíngyǎngjiàzhí,nutritional value
硬要,yìngyào,insist on / insist stubbornly
引擎,yǐnqíng,engine
阴影,yīnyǐng,shadow
音乐细胞,yīnyuèxìbāo,musical talent
一批,yìpī,a batch / a group
一片废墟,yīpiànfèixū,a stretch of ruins
以偏概全,yǐpiāngàiquán,overgeneralize
一窍不通,yīqiàobùtōng,know nothing about
以色列,Yǐsèliè,Israel
一扇窗户,yīshànchuānghù,a window
一时糊涂,yìshíhútú,momentary confusion
一塌糊涂,yītāhútú,in a total mess
一天一个样,yìtiānyígèyàng,changing every day
一条河,yìtiáohé,a river
一头雾水,yītóuwùshuǐ,totally confused
依托大陆,yītuōdàlù,rely on the mainland
义务教育,yìwùjiàoyù,compulsory education
一五一十,yīwǔyīshí,in full detail
一线演员,yīxiànyǎnyuán,top-tier actor
一氧化碳,yīyǎnghuàtàn,carbon monoxide
一饮而尽,yīyǐnérjìn,drink in one gulp
一知半解,yīzhībànjiě,have only partial understanding
用餐,yòngcān,dine / have a meal
用户,yònghù,user
诱发,yòufā,trigger
有关,yǒuguān,related to
有机蔬菜,yǒujīshūcài,organic vegetables
有理有据,yǒulǐyǒujù,well-reasoned and evidence-based
幽默有趣,yōumòyǒuqù,humorous and interesting
优先,yōuxiān,priority / preferred
有益,yǒuyì,beneficial
远处,yuǎnchù,the distance / faraway place
缘分,yuánfèn,fate / destined connection
愿景,yuànjǐng,vision
远看,yuǎnkàn,view from a distance
原来如此,yuánláirúcǐ,so that’s how it is
冤枉路,yuānwanglù,unnecessary detour
冤枉钱,yuānwangqián,wasted money
原为,yuánwéi,originally was
原住民,yuánzhùmín,indigenous people
阅兵,yuèbīng,military parade
越跌越高,yuèdiēyuègāo,the more it falls
月度,yuèdù,monthly
越环比,yuèhuánbǐ,month-on-month increase
乐谱,yuèpǔ,sheet music
月台,yuètái,platform (train station)
约占,yuēzhàn,account for approximately
愈发,yùfā,increasingly
预防,yùfáng,prevent
预感,yùgǎn,premonition
雨过天晴,yǔguòtiānqíng,after rain comes sunshine
瑜伽,yújiā,yoga
运动细胞,yùndòngxìbāo,athletic talent
云海,yúnhǎi,sea of clouds
晕机,yùnjī,airsickness
运输,yùnshū,transport
云雾,yúnwù,clouds and mist
允许,yǔnxǔ,allow / permit
晕血,yùnxuè,faint at the sight of blood
运用,yùnyòng,apply / use
羽绒服,yǔróngfú,down jacket
预算,yùsuàn,budget
芋头,yùtou,taro
欲望,yùwàng,desire
预制菜,yùzhìcài,pre-prepared dishes
与众不同,yǔzhòngbùtóng,distinctive
灾害,zāihài,disaster
在行,zàiháng,be good at / expert in
灾难,zāinàn,disaster
脏话,zānghuà,swear words
造福,zàofú,benefit
糟糕,zāogāo,terrible / bad / “oh no”
早日康复,zǎorìkāngfù,get well soon
怎家,zěnjiā,how could it be (dialectal / colloquial)
窄,zhǎi,narrow
宅男,zháinán,homebody guy
掌柜,zhǎngguì,shopkeeper
账号,zhànghào,account (online)
涨价,zhǎngjià,price increase
占用,zhànyòng,occupy
着火,zháohuǒ,catch fire
召集,zhàojí,convene / call together
招致批评,zhāozhìpīpíng,draw criticism
遮蔽,zhēbì,shield
这倒也是,zhèdàoyěshì,that’s true
折扣,zhékòu,discount
争吵,zhēngchǎo,quarrel
争光,zhēngguāng,to win honor
证件,zhèngjiàn,ID
争取升级,zhēngqǔshēngjí,strive for promotion
争取信任,zhēngqǔxìnrèn,win trust
征税,zhēngshuì,levy taxes
争议,zhēngyì,controversy
政治风暴,zhèngzhìfēngbào,political turmoil
震撼,zhènhàn,shock
针灸治疗,zhēnjiǔzhìliáo,acupuncture treatment
真巧,zhēnqiǎo,what a coincidence
榛子,zhēnzi,hazelnut
执导,zhídǎo,direct (a film)
值得一提,zhídéyītí,worth mentioning
直飞,zhífēi,direct flight
职工,zhígōng,staff
滞后,zhìhòu,lag behind
芝加哥,Zhījiāgē,Chicago
之间,zhījiān,between
知冷知热,zhīlěngzhīrè,be considerate
指南,zhǐnán,guide / guideline
知情人,zhīqíngrén,person in the know
止痛药,zhǐtòngyào,painkiller
植物奶,zhíwùnǎi,plant-based milk
钟点工,zhōngdiǎngōng,hourly worker
中国大陆,zhōngguódàlù,Mainland China
重力,zhònglì,gravity
中气十足,zhōngqìshízú,full of vigor
终生难忘,zhōngshēngnánwàng,unforgettable
中暑,zhòngshǔ,heatstroke
中西合璧,zhōngxīhébì,blend of Chinese and Western styles
种植牙,zhòngzhíyá,dental implant
抓坏人,zhuāhuàirén,catch bad guys / catch criminals
抓紧时间,zhuājǐnshíjiān,hurry / make good use of time
抓狂,zhuākuáng,go crazy
装反,zhuāngfǎn,install backwards
转化,zhuǎnhuà,transform / conversion
专家部队,zhuānjiābùduì,specialist unit
赚钱,zhuànqián,to make money
抓头发,zhuātóufa,pulling hair
注册公司,zhùcègōngsī,register a company
主唱,zhǔchàng,lead singer
主持人,zhǔchírén,host (TV / event)
住房贷款,zhùfángdàikuǎn,housing loan
主管,zhǔguǎn,supervisor
朱红,zhūhóng,vermilion red
追踪,zhuīzōng,to track / follow
祝你好运,zhùnǐhǎoyùn,good luck to you
桌面,zhuōmiàn,desktop / tabletop
主题,zhǔtí,theme
子宫,zǐgōng,uterus
自驾游,zìjiàyóu,self-driving trip
自己夸自己,zìjǐkuāzìjǐ,praise oneself
资历,zīlì,qualifications
自理能力,zìlǐnénglì,self-care ability
自然风光,zìránfēngguāng,natural scenery
字体,zìtǐ,font
自言自语,zìyánzìyǔ,talk to oneself
总监,zǒngjiān,director
走马灯,zǒumǎdēng,revolving lantern / fleeting scenes
走弯路,zǒuwānlù,take a detour
走形,zǒuxíng,go out of shape
最佳,zuìjiā,best
最佳人选,zuìjiārénxuǎn,best candidate
最近很悲,zuìjìnhěnbēi,recently sad
最具影响力,zuìjùyǐngxiǎnglì,most influential
足疗,zúliáo,foot massage
遵守,zūnshǒu,comply with
尊臀,zūntún,your buttocks (humorous/polite)
作弊,zuòbì,cheat on an exam
做梦,zuòmèng,dream on
左撇子,zuǒpiězi,left-handed person
把手,bǎ shǒu,handle; grip
爱理不理,ài lǐ bù lǐ,cold and indifferent
节奏感,jié zòu gǎn,sense of rhythm
角色,jué sè,role; character
帮倒忙,bāng dào máng,try to help but make things worse
家家万户,jiā jiā wàn hù,every household
团圆喜悦,tuán yuán xǐ yuè,joy of reunion
园区,yuán qū,park; industrial park
盯着,dīng zhe,stare at; keep an eye on
报价,bào jià,quote a price
盎司,àng sī,ounce
运营负责人,yùn yíng fù zé rén,operations manager
笔金条,bǐ jīn tiáo,gold bar (counted by piece)
名副其实,míng fù qí shí,worthy of the name; truly deserved
顾不上吃,gù bu shàng chī,too busy to eat
盯盘,dīng pán,monitor the market (stocks)
远程,yuǎn chéng,remote; long-distance
消息提示音,xiāo xī tí shì yīn,notification sound
韧性,rèn xìng,resilience; toughness
青睐,qīng lài,favor; show preference for
疏通,shū tōng,dredge; clear up; smooth relations
名声,míng shēng,reputation
昏迷不醒,hūn mí bù xǐng,unconscious
床单,chuáng dān,bed sheet
裁缝,cái féng,tailor
墓园里头,mù yuán lǐ tóu,inside the cemetery
扑朔迷离,pū shuò mí lí,complicated and confusing
不顾,bù gù,disregard; ignore
建设性,jiàn shè xìng,constructive
主播,zhǔ bō,live streamer; host
自欺欺人,zì qī qī rén,deceive oneself and others
假设,jiǎ shè,assume; hypothesis
